dataset_name,subset_name
allenai/wmt22_african,lug-xho
allenai/wmt22_african,lug-yor
allenai/wmt22_african,lug-zul
allenai/wmt22_african,nso-nya
allenai/wmt22_african,nso-sna
allenai/wmt22_african,nso-swh
allenai/wmt22_african,nso-tsn
allenai/wmt22_african,nso-tso
allenai/wmt22_african,nso-xho
allenai/wmt22_african,nso-yor
allenai/wmt22_african,nso-zul
allenai/wmt22_african,nya-sna
allenai/wmt22_african,nya-swh
allenai/wmt22_african,nya-tsn
allenai/wmt22_african,nya-tso
allenai/wmt22_african,nya-xho
allenai/wmt22_african,nya-yor
allenai/wmt22_african,nya-zul
allenai/wmt22_african,sna-swh
allenai/wmt22_african,sna-tsn
allenai/wmt22_african,sna-tso
allenai/wmt22_african,sna-xho
allenai/wmt22_african,sna-yor
allenai/wmt22_african,sna-zul
allenai/wmt22_african,swh-tsn
allenai/wmt22_african,swh-tso
allenai/wmt22_african,swh-xho
allenai/wmt22_african,swh-yor
allenai/wmt22_african,swh-zul
allenai/wmt22_african,tsn-tso
allenai/wmt22_african,tsn-xho
allenai/wmt22_african,tsn-yor
allenai/wmt22_african,tsn-zul
allenai/wmt22_african,tso-xho
allenai/wmt22_african,tso-yor
allenai/wmt22_african,tso-zul
allenai/wmt22_african,xho-yor
allenai/wmt22_african,xho-zul
allenai/wmt22_african,yor-zul
